서울시 기준일,서울시 확진자,서울시 추가 확진,서울시 치료중,서울시 퇴원,서울시 추가 퇴원,서울시 사망,전국 기준일,전국 확진,전국 추가 확진,전국 치료중,전국 퇴원,전국 사망
2021-08-06 00:00:00,66919,464,8358,58021,511,540,2021-08-06 00:00:00,207406,1704,23241,182052,2113
2021-08-05 00:00:00,66455,466,8406,57510,381,539,2021-08-05 00:00:00,205702,1776,22874,180719,2109
2021-08-04 00:00:00,65989,486,8323,57129,326,537,2021-08-04 00:00:00,203926,1725,22697,179123,2106
2021-08-03 00:00:00,65503,311,8163,56803,419,537,2021-08-03 00:00:00,202203,1202,22190,177909,2104
2021-08-02 00:00:00,65193,365,8274,56384,196,535,2021-08-02 00:00:00,201002,1219,22298,176605,2099
2021-08-01 00:00:00,64832,473,8109,56188,123,535,2021-08-01 00:00:00,199787,1442,22015,175674,2098
2021-07-31 00:00:00,64359,476,7760,56065,508,534,2021-07-31 00:00:00,198345,1539,22073,174177,2095
2021-07-30 00:00:00,63883,488,7794,55557,242,532,2021-07-30 00:00:00,196806,1710,21960,172757,2089
2021-07-29 00:00:00,63396,515,7549,55315,271,532,2021-07-29 00:00:00,195099,1674,21455,171559,2085
2021-07-28 00:00:00,62881,573,7306,55044,508,531,2021-07-28 00:00:00,193427,1896,20850,170494,2083
2021-07-27 00:00:00,62308,351,7599,54180,508,529,2021-07-27 00:00:00,191531,1365,20823,168629,2079
2021-07-26 00:00:00,61957,341,7756,53672,208,529,2021-07-26 00:00:00,190166,1318,20724,167365,2077
2021-07-25 00:00:00,61616,489,7623,53464,365,529,2021-07-25 00:00:00,188848,1487,20400,166375,2073
2021-07-24 00:00:00,61128,465,7501,53099,349,528,2021-07-24 00:00:00,187362,1629,20048,165246,2068
2021-07-23 00:00:00,60663,520,7385,52750,424,528,2021-07-23 00:00:00,185733,1630,19461,164206,2066
2021-07-22 00:00:00,60143,499,7289,52326,668,528,2021-07-22 00:00:00,184103,1842,18967,163073,2063
2021-07-21 00:00:00,59644,604,7458,51658,439,528,2021-07-21 00:00:00,182265,1784,18571,161634,2060
2021-07-20 00:00:00,59040,394,7294,51219,161,527,2021-07-20 00:00:00,180481,1278,18075,160347,2059
2021-07-19 00:00:00,58646,419,7061,51058,187,527,2021-07-19 00:00:00,179203,1252,17515,159630,2058
2021-07-18 00:00:00,58227,523,6829,50871,462,527,2021-07-18 00:00:00,177951,1454,16941,158953,2057
2021-07-17 00:00:00,57704,562,6768,50409,342,527,2021-07-17 00:00:00,176500,1455,16485,157960,2055
2021-07-16 00:00:00,57142,570,6550,50067,152,525,2021-07-16 00:00:00,175046,1536,15882,157113,2051
